COUNTRY_CODE,COUNTRY_NAME,POPULATION,TOTAL_CASES,TOTAL_DEATHS,TOTAL_VACCINATIONS,ONE_DOSE_VACCINATED,FULLY_VACCINATED,FIRST_VACCINE_DATE,LAST_UPDATED_DATE,STRINGENCY_INDEX,URBANISATION_RATE,URBANISATION_YEARLY_CHANGE,GDP_PER_CAP,DENSITY,AVG_TEMPARATURE,PRECIPITATION,INFECTION_RATE_PER_1000,DEATHS_PER_1000,TOTAL_VACCINATIONS_PER_1000,OECD_COUNTRY
AUT,Austria,8884864,772344,10932,10952246,5788154,5164092,2020-12-30,2021-10-10,51.85,59,0.68,56188,105.93,9.04,9.51,86.93,1.23,1233,Yes
ARE,United Arab Emirates,9856612,738586,2120,20725097,NA,NA,2020-12-14,2021-10-18,39.35,87.3,1.5,67119,117.9,30.61,0,74.93,0.22,2103,No
TUN,Tunisia,11811335,710906,25098,8281311,5172620,3956254,2021-03-13,2021-10-05,28.7,69.9,1.34,10756,72.19,22.17,0.46,60.19,2.12,701,No
GRC,Greece,10569703,693886,15375,12237358,6451036,5786322,2020-12-23,2021-10-10,49.54,80,0.11,29799,80.1,19.63,0.99,65.65,1.45,1158,Yes
GEO,Georgia,4933674,664813,9510,1790050,965971,824079,2021-03-17,2021-10-10,39.81,59.9,0.35,14992,70.78,15.38,2.02,134.75,1.93,363,No
LBN,Lebanon,5261372,633909,8425,3247459,1769205,1478254,2021-02-14,2021-10-11,34.26,89.1,-1.23,14552,505.9,20.85,2.59,120.48,1.6,617,No
GTM,Guatemala,17422821,583201,14177,7881191,4966834,2914357,2021-02-25,2021-10-15,49.54,52.2,2.59,8637,160.01,NA,NA,33.47,0.81,452,No
BLR,Belarus,9441842,571987,4402,4218130,2468546,1749584,2021-02-03,2021-10-10,19.44,79.9,0.28,19150,45.48,7.59,4.4,60.58,0.47,447,No
CRI,Costa Rica,5151140,549084,6744,5921089,3525260,2395829,2020-12-24,2021-10-15,54.63,81.4,1.5,19642,100.81,25.75,12.12,106.59,1.31,1149,Yes
SAU,Saudi Arabia,34783757,547931,8763,44698978,23924621,20774357,2021-01-06,2021-10-18,55.56,84.5,1.69,46962,16.18,27.73,11.81,15.75,0.25,1285,No
