"","country_code","country_name","total_cases","total_deaths","total_vaccinations","vaccinated_1dose","fully_vacccinated","total_vaccinations_per100","first_vaccine_date","last_updated_date","stringency"
"64","SVK","Slovakia",437938,12854,4744851,2451348,2293503,86.9,2021-01-06,2021-10-10,34.72
"65","HRV","Croatia",427914,8896,3488309,1848985,1634415,86,2020-12-23,2021-10-10,35.19
"66","IRL","Ireland",415114,5306,7255783,3780945,3474838,146.2,2020-12-30,2021-10-10,44.44
"67","KWT","Kuwait",412332,2457,2380000,NA,NA,55.73,2020-12-28,2021-08-04,40.74
"68","URY","Uruguay",390394,6065,6460639,2749431,2602781,185.986,2021-02-27,2021-10-15,55.56
"69","VEN","Venezuela (Bolivarian Republic of)",387393,4667,16127242,9926613,6190629,56.714,2021-02-22,2021-10-15,80.56
"70","HND","Honduras",371431,10065,6058428,3520903,2538275,61.168,2021-02-26,2021-10-15,82.41
"71","LTU","Lithuania",370119,5456,3232599,1766456,1462903,115.7,2020-12-23,2021-10-10,25.93
"72","DNK","Denmark",368651,2685,8845099,4481058,4364041,151.9,2020-12-30,2021-10-10,24.07
"73","DOM","Dominican Republic",368131,4082,12363423,6234415,5050180,113.971,2021-02-16,2021-10-15,65.74
"74","ETH","Ethiopia",359247,6217,4007643,2047695,1959948,3.486,2021-03-13,2021-10-17,43.52
"75","LBY","Libya",349990,4883,1799014,1467363,331651,26.182,2021-04-11,2021-10-17,44.44
"76","KOR","Republic of Korea",343445,2668,68888152,39920919,30426399,134.366,2021-02-26,2021-10-11,47.22
"77","MNG","Mongolia",332225,1454,4718157,2252452,2132904,143.921,2021-02-23,2021-10-08,37.04
"78","EGY","Egypt",318456,17970,20154366,13552189,6602177,19.695,2021-01-24,2021-10-08,43.52
"79","MDA","Republic of Moldova",316529,7241,1434879,844032,590847,35.6,2021-03-03,2021-10-10,25.93
"80","SVN","Slovenia",308136,4992,2048060,1134622,913438,97.7,2020-12-23,2021-10-10,35.19
"81","OMN","Oman",304054,4105,5271912,2962504,2309408,103.237,2020-12-29,2021-10-10,37.96
"82","ARM","Armenia",283183,5805,546554,375215,171339,18.4,2021-06-16,2021-10-10,NA
"83","BHR","Bahrain",276118,1391,2708159,1171032,1133745,159.156,2020-11-04,2021-10-17,43.52
"84","KEN","Kenya",252033,5223,4500179,3291192,1208987,8.369,2021-03-05,2021-10-16,54.17
"85","BIH","Bosnia and Herzegovina",244812,11157,1242203,734195,508001,37.9,NA,2021-09-29,35.19
"86","QAT","Qatar",237929,608,4793618,2134729,1816789,166.384,2020-12-23,2021-10-18,55.56
"87","ZMB","Zambia",209521,3658,757182,319778,429062,4.119,2021-04-14,2021-10-05,21.3
"88","NGA","Nigeria",209298,2837,7676012,5196052,2479960,3.724,2021-03-05,2021-10-12,50.93
"89","DZA","Algeria",205286,5872,10925049,6287679,4637370,24.914,2021-01-30,2021-10-13,56.48
"90","MKD","North Macedonia",197091,6940,1544369,795246,749123,74.1,2021-02-17,2021-10-10,NA
"91","NOR","Norway",196348,884,7872737,4183549,3689188,146.7,2020-12-23,2021-10-10,20.37
"92","LVA","Latvia",185616,2890,1617986,906378,711608,84.8,2020-12-30,2021-10-03,47.22
"93","PRI","Puerto Rico",182942,3201,4809093,2646177,2430842,168.1,NA,2021-10-15,23.15
"94","BWA","Botswana",181856,2386,633286,584504,359856,26.93,2021-03-26,2021-10-14,62.04
"95","UZB","Uzbekistan",181312,1290,19831496,10422560,6615394,59.3,2021-04-28,2021-10-10,48.15
"96","KGZ","Kyrgyzstan",179913,2636,1455373,832440,622933,22.3,2021-03-31,2021-10-10,50.93
"97","ALB","Albania",177971,2820,1796093,960084,836009,62.4,2021-01-13,2021-10-10,41.67
"98","EST","Estonia",173335,1429,1425113,759737,665376,107.2,2020-12-23,2021-10-10,27.78
"99","AFG","Afghanistan",155763,7243,2566925,847189,1719736,6.594,2021-02-22,2021-10-17,35.19
"100","FIN","Finland",151207,1120,7788689,4163606,3625083,141,2020-12-23,2021-10-10,24.07
"101","MOZ","Mozambique",151102,1926,3782029,1973519,1808510,12.1,2021-03-08,2021-10-15,48.15
"102","SGP","Singapore",148178,233,9401855,4599302,4538549,160.706,2020-12-30,2021-10-09,50.93
"103","AUS","Australia",143135,1531,30540757,17593798,12883681,119.768,2021-02-21,2021-10-02,74.54
"104","MNE","Montenegro",137748,2020,446006,244932,201074,71,2021-02-24,2021-10-10,NA
"105","ZWE","Zimbabwe",132368,4658,5580902,3171698,2409204,37.549,2021-02-18,2021-10-11,47.22
"106","GHA","Ghana",129440,1167,1623582,865422,758160,5.225,2021-03-02,2021-09-20,40.74
"107","NAM","Namibia",128304,3538,584381,285745,208661,22.999,2021-03-19,2021-10-11,36.11
"108","UGA","Uganda",125261,3185,2378171,1794105,584066,5.199,2021-03-10,2021-10-11,75.93
"109","CHN","China",125254,5695,2228305003,1154905147,1014573856,151.453,2020-07-22,2021-10-08,76.39
"110","CYP","Cyprus",122362,562,1157846,598680,559166,130.4,2020-12-23,2021-10-10,40.74
"111","KHM","Cambodia",116665,2658,22690976,11680387,11150943,135.72,2021-02-10,2021-10-08,69.44
"112","SLV","El Salvador",107664,3435,8096778,4227768,3588788,124.831,2021-02-17,2021-10-15,22.22
