"","country","urbanisation_rate","urbanisation_yearly_change","gdp_per_cap","size","population","density","country_code"
"127","Maldives","41.1","2.34",19531,298,390669,1310.97,"MDV"
"128","Mali","44.7","4.57",2322,1240192,20137527,16.24,"MLI"
"129","Malta","94.8","0.28",44032,316,460891,1458.52,"MLT"
"130","Marshall Islands","78.2","0.61",3889,181,78831,435.53,"MHL"
"131","Mauritania","56.1","3.84",5197,1030700,4079284,3.96,"MRT"
"132","Mauritius","40.8","0.28",22870,2040,1386129,679.48,"MUS"
"133","Mexico","81","1.4",19796,1964375,130207371,66.28,"MEX"
"134","Micronesia, Federated States of","23.1","1.52",3464,702,101675,144.84,"FSM"
"135","Moldova","43","0.09",13050,33851,3323875,98.19,"MDA"
"136","Monaco","100","0.5",115700,2,31223,15611.5,"MCO"
"137","Mongolia","68.8","1.4",12317,1564116,3198913,2.05,"MNG"
"138","Montenegro","67.8","0.45",21470,13812,607414,43.98,"MNE"
"139","Montserrat","9.2","0.94",34000,102,5387,52.81,"MSR"
"140","Morocco","64.1","1.88",7515,716550,36561813,51.02,"MAR"
"141","Mozambique","37.6","4.24",1281,799380,30888034,38.64,"MOZ"
"142","Namibia","53","3.64",9637,824292,2678191,3.25,"NAM"
"143","Nauru","100","0.18",11583,21,9770,465.24,"NRU"
"144","Nepal","21","3.09",3417,147181,30424878,206.72,"NPL"
"145","Netherlands","92.6","0.59",56935,41543,17337403,417.34,"NLD"
"146","New Caledonia","71.9","1.72",31100,18575,293608,15.81,"NCL"
"147","New Zealand","86.8","0.92",42888,268838,4991442,18.57,"NZL"
"148","Nicaragua","59.3","1.45",5407,130370,6243931,47.89,"NIC"
"149","Niger","16.8","4.72",1225,1267000,23605767,18.63,"NER"
"150","Nigeria","52.7","3.92",5136,923768,219463862,237.57,"NGA"
"151","Niue","46.9","1.43",5800,260,2000,7.69,"NIU"
"152","Northern Mariana Islands","91.9","0.36",24500,464,51659,111.33,"MNP"
"153","Norway","83.3","1.32",63633,323802,5509591,17.02,"NOR"
"154","Oman","87","2.32",27299,309500,3694755,11.94,"OMN"
