country_code,country_name,population,total_cases,total_deaths,total_vaccinations,vaccinated_1dose,fully_vacccinated,first_vaccine_date,last_updated_date,stringency_index,urbanisation_rate,urbanisation_yearly_change,gdp_per_cap,density,tavg,prcp,Infection_Rate_per_100,Deaths_per_10000,total_vaccinations_per_100
MMR,Myanmar,57069099,479848,18162,12263702,8390746,3872956,2021-01-27,2021-10-02,86.11,31.4,1.85,5142,84.35,28.476781425140118,17.66826722338206,0.84,3.18,23
PAN,Panama,3928646,468325,7255,5597294,3004816,2588582,2021-01-20,2021-10-08,93.52,68.8,1.92,31459,52.09,NA,NA,11.92,18.47,130
PRY,Paraguay,7272639,460113,16205,4836914,2838640,1998274,2021-02-22,2021-10-08,94.44,62.5,1.64,12685,17.88,22.04140191628852,8.53395348837205,6.33,22.28,68
PSE,"occupied Palestinian territory, including east Jerusalem",1957062,443766,4504,NA,NA,NA,NA,NA,96.3,77,2.85,6220,5436.28,NA,NA,22.68,23.01,NA
SVK,Slovakia,5436066,425971,12735,4581618,2363966,2217652,2021-01-06,2021-10-03,87.04,53.8,0.17,32730,110.86,11.121893939393926,2.6744548286604513,7.84,23.43,84
HRV,Croatia,4208973,418028,8778,3449420,1826424,1618805,2020-12-23,2021-10-03,96.3,57.9,0.05,28602,74.37,16.01160151324084,2.3661290322580664,9.93,20.86,85
KWT,Kuwait,3032065,412079,2454,2380000,NA,NA,2020-12-28,2021-08-04,100,100,1.35,49854,170.17,29.547713226205225,0.41874999999999984,13.59,8.09,56
IRL,Ireland,5224884,403157,5280,7233935,3774629,3459306,2020-12-30,2021-10-03,90.74,63.9,1.15,86781,74.35,10.633123689727464,3.151943244910543,7.72,10.11,146
URY,Uruguay,3398239,389505,6062,6375568,2741223,2592978,2021-02-27,2021-10-08,87.04,95.6,0.4,21561,19.28,17.675499787324572,3.5594813614262466,11.46,17.84,184
VEN,Venezuela (Bolivarian Republic of),29069153,377833,4558,16127242,9926613,6190629,2021-02-22,2021-10-08,97.22,88.3,1.16,7704,31.87,NA,NA,1.3,1.57,57
HND,Honduras,9346277,369030,9949,5817602,3336972,2481005,2021-02-26,2021-10-08,100,59,2.48,5728,83.38,26.552292682926883,3.2725631768953165,3.95,10.64,59
DNK,Denmark,5894687,363900,2669,8815977,4437903,4378074,2020-12-30,2021-09-26,72.22,88.2,0.54,57804,136.79,9.25224358974358,2.2359253499222427,6.17,4.53,151
DOM,Dominican Republic,10597348,363735,4063,12072407,6115991,4956157,2021-02-16,2021-10-08,100,83.2,1.64,18413,217.74,27.084287200832478,5.139351851851867,3.43,3.83,111
ETH,Ethiopia,110871031,354476,5990,3879071,2047358,1831713,2021-03-13,2021-10-10,80.56,22.2,4.4,2221,100.4,20.76910785619174,8.842048517520228,0.32,0.54,3
LTU,Lithuania,2711566,353289,5248,3185776,1745298,1438576,2020-12-23,2021-10-03,87.04,68.2,-0.12,37231,41.52,9.204655349794216,3.654476479514437,13.03,19.35,114
LBY,Libya,7017224,346176,4775,1689252,1424692,264560,2021-04-11,2021-10-09,100,81,1.45,15174,3.99,24.568088779284817,2.2921428571428577,4.93,6.8,25
KOR,Republic of Korea,51715162,332816,2583,65245722,39710470,26982724,2021-02-26,2021-10-04,82.41,81.4,0.31,42765,518.6,15.974827823691468,11.860457856399526,0.64,0.5,127
MNG,Mongolia,3198913,322455,1377,4692691,2251534,2130361,2021-02-23,2021-10-01,96.3,68.8,1.4,12317,2.05,4.805205047318591,6.931823085221145,10.08,4.3,143
EGY,Egypt,106437241,312413,17695,20154366,13552189,6602177,2021-01-24,2021-10-08,87.96,42.9,1.9,11763,106.28,24.49915254237289,10.297297297297298,0.29,1.66,20
MDA,Republic of Moldova,3323875,306647,7024,1409245,824986,584259,2021-03-03,2021-10-03,87.04,43,0.09,13050,98.19,11.481097229766446,7.627719298245622,9.23,21.13,35
OMN,Oman,3694755,303965,4102,6374064,3777079,2597476,2020-12-29,2021-09-27,100,87,2.32,27299,11.94,29.602788041652694,1.4853211009174283,8.23,11.1,125
SVN,Slovenia,2102106,301458,4943,1977827,1115041,862786,2020-12-23,2021-09-26,89.81,55.4,0.54,39088,103.69,6.698679245283024,3.440896686159841,14.34,23.51,94
BHR,Bahrain,1526929,275654,1390,2651709,1167980,1127864,2020-11-04,2021-10-09,78.7,89.6,1.99,45011,2009.12,29.56553030303031,0.07272727272727274,18.05,9.1,156
ARM,Armenia,3011609,272356,5549,511468,351948,159520,2021-06-16,2021-10-03,NA,63.4,0.23,13654,101.25,10.79957364341089,3.050769230769221,9.04,18.43,17
KEN,Kenya,54685051,251152,5181,4048667,3057307,991360,2021-03-05,2021-10-06,88.89,28.5,4.09,4330,94.22,24.230321852060992,5.947368421052636,0.46,0.95,8
BIH,Bosnia and Herzegovina,3824782,240952,10914,1242203,734195,508001,NA,2021-09-29,92.59,49.4,0.61,14912,74.71,13.980708661417344,2.780722891566278,6.3,28.53,38
QAT,Qatar,2479995,237424,607,4756578,2134729,1816789,2020-12-23,2021-10-09,86.11,99.3,1.66,90044,214.05,30.438636363636395,0,9.57,2.45,165
ZMB,Zambia,19077816,209347,3654,757182,319778,429062,2021-04-14,2021-10-05,70.83,45.2,4.15,3470,25.35,NA,NA,1.1,1.92,4
NGA,Nigeria,219463862,207696,2747,7273026,5030005,2243021,2021-03-05,2021-10-06,85.65,52.7,3.92,5136,237.57,27.54930693069313,15.605217391304343,0.09,0.13,4
