,country_code,country_name,total_cases,total_deaths,total_vaccinations,vaccinated_1dose,fully_vacccinated,total_vaccinations_per100,stringency_index
150,BHS,Bahamas,21312,557,207784,124207,88265,52.838,96.3
151,BLZ,Belize,21003,418,321277,206213,127508,80.798,85.19
152,SOM,Somalia,20577,1137,495041,259041,236000,3.115,73.61
153,MYT,Mayotte,20337,180,0,0,0,0,0
154,TLS,Timor-Leste,19609,119,711879,441510,270369,53.994,87.04
155,BDI,Burundi,18665,14,0,0,0,0,27.31
156,TJK,Tajikistan,17484,125,4139385,2398703,1740682,43.401,69.44
157,CUW,Curaçao,16609,164,187263,97897,89366,114.12,0
158,MUS,Mauritius,16083,100,1633952,845164,786438,128.479,97.22
159,ABW,Aruba,15536,167,156147,81362,74785,146.252,88.89
160,MLI,Mali,15304,550,413563,318655,240321,2.042,75
161,AND,Andorra,15267,130,95918,52910,43008,124.142,65.74
162,COG,Congo,14561,199,246414,136071,110344,4.466,97.22
163,BFA,Burkina Faso,14341,187,254545,234490,168141,1.218,89.81
164,GUM,Guam,13157,198,226424,125258,110433,134.157,79.63
165,DJI,Djibouti,12976,172,66010,40689,26087,6.681,94.44
166,GNQ,Equatorial Guinea,12532,150,397083,229448,167635,28.303,0
167,SSD,South Sudan,12064,130,108602,77546,31053,0.97,86.11
168,ISL,Iceland,11990,33,554603,281734,276522,152.307,65.74
169,LCA,Saint Lucia,11693,209,78510,45972,32538,42.755,0
170,CAF,Central African Republic,11385,100,187160,82662,104498,3.875,75.93
171,NIC,Nicaragua,11273,204,861807,556589,305218,13.009,24.07
172,JEY,Jersey,10060,78,153196,77168,74026,142.117,0
173,GMB,Gambia,9935,338,208379,184817,171987,8.623,83.33
174,YEM,Yemen,9214,1743,356173,308025,48148,1.194,64.81
175,BRB,Barbados,9010,79,239948,135036,104912,83.496,88.89
176,NCL,New Caledonia,8142,157,223248,140612,82636,78.196,0
177,BRN,Brunei Darussalam,7904,36,442475,269219,173256,101.142,79.63
178,IMN,Isle of Man,7698,52,129399,65474,63925,152.177,0
179,VIR,United States Virgin Islands,6841,72,0,0,0,0,65.74
180,ERI,Eritrea,6723,42,0,0,0,0,93.52
181,SLE,Sierra Leone,6396,121,236465,192558,43907,2.964,88.89
182,GNB,Guinea-Bissau,6112,135,94715,87231,7484,4.813,0
183,NER,Niger,6042,203,533899,405978,127921,2.206,61.11
184,LBR,Liberia,5799,286,299217,86288,210557,5.916,87.96
185,GIB,Gibraltar,5579,97,79587,39952,39630,236.226,0
186,SMR,San Marino,5456,91,47100,24437,24437,138.782,92.59
187,BMU,Bermuda,5336,75,87215,44190,43025,140.053,96.3
188,GRD,Grenada,5195,141,58985,34535,24450,52.42,0
189,TCD,Chad,5049,174,154042,123426,30616,0.938,88.89
190,SXM,Sint Maarten,4321,66,49710,25891,23819,115.923,0
191,COM,Comoros,4155,147,352635,190637,162098,40.551,0
192,NZL,New Zealand,4050,27,4229686,2803535,1426151,87.712,96.3
193,NA,Saint Martin,3819,36,0,0,0,0,0
194,VCT,Saint Vincent and the Grenadines,3676,28,34082,20620,13462,30.721,0
195,LIE,Liechtenstein,3561,58,46861,24532,22920,120.941,67.59
196,DMA,Dominica,3555,21,46694,25127,21567,64.861,79.63
197,STP,Sao Tome and Principe,3536,53,94640,68443,26197,43.183,0
198,ATG,Antigua and Barbuda,3336,81,94298,51871,42427,96.292,0
199,MCO,Monaco,3317,35,49980,26672,23308,127.357,87.96
200,TCA,Turks and Caicos Islands,2868,23,52374,27446,24928,135.27,0
201,VGB,British Virgin Islands,2676,37,32930,17570,15360,108.906,0
202,BTN,Bhutan,2613,3,1081086,584605,496481,140.108,97.22
203,KNA,Saint Kitts and Nevis,2037,13,48059,25637,22422,90.35,0
204,BLM,Saint Barthélemy,1649,4,0,0,0,0,0
205,GGY,Guernsey,1647,21,101986,0,0,158.196,0
206,FRO,Faroe Islands,1220,2,74618,38288,36330,152.702,60.19
207,CYM,Cayman Islands,853,2,106655,55129,51481,162.287,0
208,GRL,Greenland,591,0,78271,41280,36991,137.869,77.78
209,WLF,Wallis and Futuna,454,7,10438,5366,5072,92.815,0
210,AIA,Anguilla,425,1,18704,9548,9156,124.677,0
211,MNP,Northern Mariana Islands (Commonwealth of the),272,2,69443,35621,34613,120.651,0
212,FLK,Falkland Islands (Malvinas),67,0,4407,2632,1775,126.529,0
213,MSR,Montserrat,34,1,2871,1483,1388,57.431,0
214,SPM,Saint Pierre and Miquelon,31,0,0,0,0,0,0
215,VAT,Holy See,26,0,0,0,0,0,0
216,SLB,Solomon Islands,20,0,106074,82295,23779,15.443,69.44
217,PLW,Palau,5,0,30284,17469,15148,167.389,0
218,MHL,Marshall Islands,4,0,40028,22504,19587,67.622,0
219,ASM,American Samoa,3,0,60275,33356,27465,109.2,0
220,VUT,Vanuatu,3,0,73730,49639,24105,24.005,83.33
221,WSM,Samoa,1,0,172316,114698,57618,86.847,0
222,COK,Cook Islands,0,0,21761,11416,10345,123.895,0
223,PRK,Democratic People's Republic of Korea,0,0,0,0,0,0,0
224,KIR,Kiribati,0,0,48894,40993,7901,40.933,56.94
225,FSM,Micronesia (Federated States of),0,0,70895,44340,38078,61.635,0
226,NRU,Nauru,0,0,14790,7612,7178,136.515,0
227,NIU,Niue,0,0,2352,1202,1150,145.365,0
228,PCN,Pitcairn Islands,0,0,74,37,37,148,0
229,SHN,Saint Helena,0,0,7892,4361,3531,129.995,0
230,TKL,Tokelau,0,0,1936,968,968,143.407,0
231,TON,Tonga,0,0,74503,46985,27518,70.489,93.52
232,TKM,Turkmenistan,0,0,41993,32240,9753,0.696,73.15
233,TUV,Tuvalu,0,0,10861,6209,4652,92.105,0
